journal_full_title;issn;eissn;doi;period;is_gold;is_hybrid;is_green;non_oa;bfi_level;publisher;institution;corresponding_author;corresponding_institution;euro;submission_fee;page_charge;color_charge;CC-charge;discount;dk_funding
International Microbiology;1139-6709;;10.2436/20.1501.01.229;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Journal of Materials Chemistry C;2050-75262013 ? …;;10.1039/c5tc02723c;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Journal of Physics: Conference Series (Online);1742-6596;;10.1088/1742-6596/712/1/012085;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Kemisk Institut;;;;;;;;;
Metallomics;1756-5901;;10.1039/c4mt00274a;2015;;;;;2008:BFI:0, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Mineralogical Magazine;0026-461X;;10.1180/minmag.2015.079.6.41;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Molecules;1420-3049;;10.3390/molecules20010738;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Nanoscale;2040-3364;;10.1039/c5nr01497b;2015;;;;;2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Kemisk Institut;;;;;;;;;
Nature Communications;2041-1723;;10.1038/ncomms8478;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Nature Communications;2041-17232011 ? …;;10.1038/ncomms6961;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Nature Communications;2041-17232011 ? …;;10.1038/ncomms10233;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Nature Communications;2041-1723;;10.1038/ncomms7287;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Nature Communications;2041-1723;;10.1038/ncomms11177;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:2;;Kemisk Institut;;;;;;;;;
Nature Communications;2041-1723;;10.1038/ncomms13677;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:2;;Kemisk Institut;;;;;;;;;
Nature Communications;2041-1723;;10.1038/ncomms12195;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:2;;Kemisk Institut;;;;;;;;;
Nature Communications;2041-1723;;10.1038/ncomms12294;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:2;;Kemisk Institut;;;;;;;;;
Organic & Biomolecular Chemistry;1477-0520;;10.1039/C4OB02211D;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Kemisk Institut;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0120680;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0136768;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0144671;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0138706;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0124303;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
PeerJ;2167-83592013 ? …;;10.7717/peerj.861;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
PeerJ;2167-8359;;10.7717/peerj.2698;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Kemisk Institut;;;;;;;;;
Physical Chemistry Chemical Physics;1463-9076;;10.1039/c5cp00071h;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Kemisk Institut;;;;;;;;;
Physical Chemistry Chemical Physics;1463-9076;;10.1039/c5cp00628g;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Kemisk Institut;;;;;;;;;
R S C Advances;2046-2069;;10.1039/c5ra15759e;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
RSC Advances;2046-2069;;10.1039/c6ra14811e;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Kemisk Institut;;;;;;;;;
Scientific Reports;2045-23222011 ? …;;10.1038/srep15273;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Scientific Reports;2045-23222011 ? …;;10.1038/srep13532;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Scientific Reports;2045-23222011 ? …;;10.1038/srep09933;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Scientific Reports;2045-2322;;10.1038/srep28854;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Kemisk Institut;;;;;;;;;
Scientific Reports;2045-2322;;10.1038/srep26914;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Kemisk Institut;;;;;;;;;
Scientific Reports;2045-2322;;10.1038/srep29574;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Kemisk Institut;;;;;;;;;
Soft Matter;1744-683X;;10.1039/c5sm01490e;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Structural Chemistry;1040-0400;;10.1007/s11224-014-0554-8;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Tetrahedron Letters;0040-4039;;10.1016/j.tetlet.2015.02.108;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kemisk Institut;;;;;;;;;
Cytotechnology;0920-9069;;10.1007/s10616-013-9656-1;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Klinisk og eksperimentel ernæring;;;;;;;;;
Nutrients;2072-66432011 ? …;;10.3390/nu7095334;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Klinisk og eksperimentel ernæring;;;;;;;;;
Food Chemistry;0308-8146;;10.1016/j.foodchem.2016.02.033;2016;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2, 2016:BFI:2;;Klinisk og forebyggende ernæring;;;;;;;;;
Journal of Nutrition;0022-3166;;10.3945/jn.114.203430;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Komparativ Pædiatri og Ernæring;;;;;;;;;
Annalen der Physik;0003-3804;;10.1002/andp.201400099;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kvanteoptik;;;;;;;;;
Nature Communications;2041-17232011 ? …;;10.1038/ncomms9655;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kvanteoptik;;;;;;;;;
Nature Communications;2041-1723;;10.1038/ncomms11356;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:2;;Kvanteoptik;;;;;;;;;
Optics Express;1094-4087;;10.1364/OE.23.025340;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Kvanteoptik;;;;;;;;;
Optics Letters;0146-9592;;10.1364/OL.40.002229;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Kvanteoptik;;;;;;;;;
Physical Review A (Atomic, Molecular and Optical Physics);1050-2947;;10.1103/PhysRevA.92.013817;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Kvanteoptik;;;;;;;;;
Physical Review Letters;0031-9007;;10.1103/PhysRevLett.114.247401;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Kvanteoptik;;;;;;;;;
Applied Geography;0143-6228;;10.1016/j.apgeog.2015.02.012;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:2, 2015:BFI:2;;Landskabsarkitektur og planlægning;;;;;;;;;
Current Opinion in Environmental Sustainability;1877-3435;;10.1016/j.cosust.2015.02.006;2015;;;;;2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Landskabsarkitektur og planlægning;;;;;;;;;
Ecological Modelling;0304-3800;;10.1016/j.ecolmodel.2014.09.027;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Landskabsarkitektur og planlægning;;;;;;;;;
Environmental Management;0364-152X;;10.1007/s00267-015-0496-y;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Landskabsarkitektur og planlægning;;;;;;;;;
Landscape Research;0142-6397;;10.1080/01426397.2013.824073;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Landskabsarkitektur og planlægning;;;;;;;;;
Landscape Research;0142-6397;;10.1080/01426397.2013.829806;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Landskabsarkitektur og planlægning;;;;;;;;;
Landscape and Urban Planning;0169-2046;;10.1016/j.landurbplan.2015.03.004;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Landskabsarkitektur og planlægning;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0126178;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Landskabsarkitektur og planlægning;;;;;;;;;
Trafik & Veje;1903-7384;;;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Landskabsarkitektur og planlægning;;;;;;;;;
Water Policy;1366-7017;;10.2166/wp.2014.047;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Landskabsarkitektur og planlægning;;;;;;;;;
Journal of Plant Research;0918-9440;;10.1007/s10265-014-0676-5;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;LUKKET: 2012 Transportbiologi - Ophørt.  01/01/2015. ;;;;;;;;;
Applied and Environmental Microbiology;0099-2240;;10.1128/AEM.03699-14;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Marine Biological Section;;;;;;;;;
Applied and Environmental Microbiology;0099-2240;;10.1128/AEM.02863-14;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Marine Biological Section;;;;;;;;;
Aquatic Biology;1864-7782;;10.3354/ab00661;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Aquatic Invasions;1798-6540;;10.3391/ai.2016.11.2.05;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
B M C Ecology;1472-6785;;10.1186/s12898-015-0043-y;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
B M C Evolutionary Biology;1471-2148;;10.1186/s12862-015-0531-x;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
BMC Evolutionary Biology;1471-2148;;10.1186/s12862-016-0639-7;2016;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Behavioral Ecology and Sociobiology;0340-5443;;10.1007/s00265-014-1834-4;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Marine Biological Section;;;;;;;;;
Cladistics;0748-3007;;10.1111/cla.12089;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Marine Biological Section;;;;;;;;;
Current Biology;0960-9822;;10.1016/j.cub.2014.11.032;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Marine Biological Section;;;;;;;;;
Deep-Sea Research. Part 1: Oceanographic Research Papers;0967-0637;;10.1016/j.dsr.2016.08.013;2016;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Elementa : Science of the Anthropocene;2325-1026;;10.12952/journal.elementa.000140;2016;;;;;2016:BFI:1;;Marine Biological Section;;;;;;;;;
Estuarine, Coastal and Shelf Science;0272-7714;;10.1016/j.ecss.2015.01.003;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
EvoDevo;2041-9139;;10.1186/s13227-016-0058-2;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
F E M S Microbiology Letters;0378-1097;;10.1093/femsle/fnv105;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Fish Physiology & Biochemistry;0920-1742;;10.1007/s10695-014-0004-y;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Marine Science;;;10.3389/fmars.2015.00058;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Marine Science;;;10.3389/fmars.2016.00010;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Marine Science;;;10.3389/fmars.2015.00115;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Microbiology;1664-302X2012 ? …;;10.3389/fmicb.2015.00209;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Microbiology;1664-302X2012 ? …;;10.3389/fmicb.2015.00726;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Microbiology;1664-302X2012 ? …;;10.3389/fmicb.2015.00590;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Microbiology;1664-302X;;10.3389/fmicb.2016.01807;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Microbiology;1664-302X;;10.3389/fmicb.2016.00785;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Microbiology;1664-302X;;10.3389/fmicb.2016.00230;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Microbiology;1664-302X;;10.3389/fmicb.2016.01501;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Microbiology;1664-302X;;10.3389/fmicb.2016.00872;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Plant Science;1664-462X;;10.3389/fpls.2016.00524;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Plant Science;1664-462X;;10.3389/fpls.2016.01404;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Zoology;1742-9994;;10.1186/s12983-016-0181-x;2016;;;;;2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Zoology;1742-9994;;10.1186/s12983-016-0174-9;2016;;;;;2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Frontiers in Zoology;1742-9994;;10.1186/s12983-016-0175-8;2016;;;;;2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Harmful Algae;1568-9883;;10.1016/j.hal.2014.11.002;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:2, 2015:BFI:2;;Marine Biological Section;;;;;;;;;
I S M E Journal;1751-7362;;10.1038/ismej.2014.119;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Marine Biological Section;;;;;;;;;
Journal of Eukaryotic Microbiology;1066-5234;;10.1111/jeu.12183;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Journal of Natural Products;0163-3864;;10.1021/acs.jnatprod.6b00345;2016;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:1, 2015:BFI:1, 2016:BFI:2;;Marine Biological Section;;;;;;;;;
Journal of Plankton Research;0142-7873;;10.1093/plankt/fbv019;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Life;2075-17292012 ? …;;10.3390/life5010744;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Limnology and Oceanography;1939-5590;;10.1002/lno.10058;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Marine Biological Section;;;;;;;;;
Limnology and Oceanography: Methods;1541-5856;;10.1002/lom3.10016;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Nature Communications;2041-1723;;10.1038/ncomms12454;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:2;;Marine Biological Section;;;;;;;;;
New Phytologist;1469-81372012 ? …;;10.1111/nph.13124;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Marine Biological Section;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0152515;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Respiration (English Edition);0025-7931;;10.1159/000369471;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Scientific Reports;2045-2322;;10.1038/srep26599;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Sensors and Actuators B: Chemical;0925-4005;;10.1016/j.snb.2015.01.091;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
SpringerPlus;2193-1801;;10.1186/s40064-015-0977-8;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2017:BFI:1;;Marine Biological Section;;;;;;;;;
Zoological Studies;1021-5506;;10.6620/ZS.2016.55-14;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Marine Biological Section;;;;;;;;;
Zoology;0944-2006;;10.1016/j.zool.2014.06.004;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
mBio (Print);2161-21292012 ? …;;10.1128/mBio.00929-15;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
mBio (Print);2161-21292012 ? …;;10.1128/mBio.00627-15;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Marine Biological Section;;;;;;;;;
Food Biophysics;1557-1858;;10.1007/s11483-015-9392-5;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Mejeri, kød og planteproduktteknologi;;;;;;;;;
Food Chemistry;0308-8146;;10.1016/j.foodchem.2014.07.100;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Mejeri, kød og planteproduktteknologi;;;;;;;;;
Food Chemistry;0308-8146;;10.1016/j.foodchem.2014.11.139;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Mejeri, kød og planteproduktteknologi;;;;;;;;;
Food Chemistry;0308-8146;;10.1016/j.foodchem.2014.11.077;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Mejeri, kød og planteproduktteknologi;;;;;;;;;
